"ID","TITLE","TIER","TAGS"
"12409","Shoot the Target (Small1)","Silver 2","기하학|브루트포스 알고리즘|삼분 탐색"
"12411","Bejeweled Befuddlement (Small1)","Unrated",
"12413","Technology Planning (Small1)","Silver 2","백트래킹|브루트포스 알고리즘"
"12414","Technology Planning (Small2)","Gold 4","그래프 이론|방향 비순환 그래프|위상 정렬"
"12415","가로수 (Small)","Gold 3","그리디 알고리즘|브루트포스 알고리즘"
"12416","가로수 (Large)","Platinum 5","그리디 알고리즘|브루트포스 알고리즘"
"12417","일조량 (Small)","Platinum 4","기하학|매개 변수 탐색|이분 탐색"
"12418","일조량 (Large)","Platinum 3","기하학|매개 변수 탐색|수학|이분 탐색"
"12419","출근 전쟁 (Small)","Gold 2","그래프 이론|데이크스트라|우선순위 큐|자료 구조|최단 경로"
"12421","창문 깨기 (Small)","Platinum 3","다이나믹 프로그래밍|수학|확률론"
"12422","창문 깨기 (Large)","Diamond 5","다이나믹 프로그래밍|수학|확률론"
"12423","전장 (Small)","Platinum 3","그래프 이론|최대 유량|최소 비용 최대 유량"
"12424","전장 (Large)","Platinum 3","그래프 이론|최대 유량|최소 비용 최대 유량"
"12425","윷놀이 (Small)","Gold 2","구현|시뮬레이션"
"12426","윷놀이 (Large)","Diamond 5","구현|다이나믹 프로그래밍"
"12427","박테리아 (Small)","Platinum 2","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|이분 매칭"
"12428","박테리아 (Large)","Platinum 2","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|이분 매칭"
"12429","생존자 (Small)","Gold 4","그리디 알고리즘|브루트포스 알고리즘|정렬"
"12430","생존자 (Large)","Platinum 4","그리디 알고리즘|다이나믹 프로그래밍|배낭 문제|정렬"
"12431","장터판 (Small)","Gold 3","구현|브루트포스 알고리즘|수학|통계학|확률론"
"12432","장터판 (Large)","Platinum 3","기댓값의 선형성|수학|조합론|확률론"
"12433","모자 쓴 아이들 (Small)","Platinum 5","구현|다이나믹 프로그래밍|수학|조합론"
"12435","한강 (Small)","Silver 1","브루트포스 알고리즘|소수 판정|수학|에라토스테네스의 체|정수론"
"12437","새로운 달력 (Small)","Silver 4","구현|수학|시뮬레이션|정수론"
"12438","새로운 달력 (Large)","Gold 5","수학|정수론"
"12439","계산식 복원 (Small)","Platinum 4","구현|그리디 알고리즘|문자열|파싱"
"12440","계산식 복원 (Large)","Platinum 2","구현|그리디 알고리즘|문자열|자료 구조|집합과 맵|트리를 사용한 집합과 맵|파싱"
"12441","약속장소 정하기 (Small)","Gold 4","그래프 이론|데이크스트라|최단 경로|플로이드–워셜"
"12442","약속장소 정하기 (Large)","Gold 4","그래프 이론|데이크스트라|최단 경로"
"12443","アンテナ修復 (Small)","Gold 5","기하학|다각형의 넓이|브루트포스 알고리즘"
"12444","アンテナ修復 (Large)","Gold 1","그리디 알고리즘|기하학|다각형의 넓이|수학|애드 혹|정렬"
"12445","バクテリアの増殖 (Small)","Gold 4","분할 정복을 이용한 거듭제곱|수학|임의 정밀도 / 큰 수 연산|정수론"
"12446","バクテリアの増殖 (Large)","Diamond 5","다이나믹 프로그래밍|분할 정복을 이용한 거듭제곱|수학|오일러 피 함수|정수론"
"12447","ワイルドカード (Small)","Gold 2","문자열|브루트포스 알고리즘|수학|정규 표현식|조합론"
"12448","ワイルドカード (Large)","Diamond 4",
"12449","クローゼットルーム (Small)","Unrated",
"12451","無限庭園 (Small)","Gold 3","구현|그래프 이론|그래프 탐색|너비 우선 탐색"
"12452","無限庭園 (Large)","Unrated",
"12453","カードシャッフル (Small)","Silver 3","구현|시뮬레이션"
"12454","カードシャッフル (Large)","Gold 3","구현|수학|시뮬레이션"
"12455","最高のコーヒー (Small)","Gold 4","그리디 알고리즘|브루트포스 알고리즘"
"12456","모닝커피 (Large)","Platinum 5","그리디 알고리즘|우선순위 큐|자료 구조"
"12457","ビット数 (Small)","Silver 3","브루트포스 알고리즘|비트마스킹|수학"
"12458","ビット数 (Large)","Gold 2","다이나믹 프로그래밍|수학|애드 혹"
"12465","Runs (Small)","Diamond 5",
"12466","Runs (Large)","Diamond 4",
"12467","Rains Over Atlantis (Small)","Gold 1","구현|그래프 이론|그래프 탐색|너비 우선 탐색|시뮬레이션|우선순위 큐|자료 구조"
"12468","Rains Over Atlantis (Large)","Unrated",
"12471","Ace in the Hole (Small)","Unrated",
"12472","Ace in the Hole (Large)","Unrated",
"12473","Google Royale (Small)","Unrated",
"12474","Google Royale (Large)","Unrated",
"12475","Irregular Cakes (Small)","Platinum 5","기하학|다각형의 넓이|매개 변수 탐색|이분 탐색"
"12476","Irregular Cakes (Large)","Platinum 5","기하학|다각형의 넓이|매개 변수 탐색|이분 탐색"
"12477","Dire Straights (Small)","Silver 5","브루트포스 알고리즘"
"12478","Dire Straights (Large)","Platinum 5","그리디 알고리즘|자료 구조"
"12479","Perpetual Motion (Small)","Silver 2","구현|브루트포스 알고리즘|시뮬레이션"
"12480","Perpetual Motion (Large)","Platinum 1","2-sat|강한 연결 요소|그래프 이론|그래프 탐색"
"12481","Mystery Square (Small)","Gold 5","브루트포스 알고리즘|비트마스킹"
"12482","Mystery Square (Large)","Diamond 4","많은 조건 분기|수학|정수론"
"12483","Airport Walkways (Small)","Gold 5","그리디 알고리즘|수학|정렬"
"12484","Airport Walkways (Large)","Gold 4","그리디 알고리즘|수학|정렬"
"12485","Spinning Blade (Small)","Unrated",
"12486","Spinning Blade (Large)","Unrated",
"12487","Expensive Dinner (Small)","Gold 4","그리디 알고리즘|수학|정수론"
"12488","Expensive Dinner (Large)","Gold 1","그리디 알고리즘|수학|정수론"
"12489","A.I. War (Small)","Gold 1","그래프 이론|방향 비순환 그래프|최단 경로"
"12490","A.I. War (Large)","Platinum 2","그래프 이론|그래프 탐색|너비 우선 탐색|다이나믹 프로그래밍|자료 구조|집합과 맵|최단 경로|해시를 사용한 집합과 맵"
"12491","Square Tiles (Small)","Silver 4","그리디 알고리즘|브루트포스 알고리즘"
"12492","Square Tiles (Large)","Silver 3","그리디 알고리즘|브루트포스 알고리즘"
"12493","Space Emergency (Small)","Silver 3","그리디 알고리즘|브루트포스 알고리즘|정렬"
"12494","Space Emergency (Large)","Gold 5","그리디 알고리즘|우선순위 큐|자료 구조|정렬"
"12495","Perfect Harmony (Small)","Bronze 2","브루트포스 알고리즘|사칙연산|수학"
"12496","Perfect Harmony (Large)","Platinum 1","소수 판정|소인수분해|수학|유클리드 호제법|정수론|폴라드 로"
"12497","RPI (Small)","Silver 4","구현|시뮬레이션"
"12498","RPI (Large)","Silver 4","구현|시뮬레이션"
"12499","Revenge of the Hot Dogs (Small)","Gold 5","매개 변수 탐색|이분 탐색"
"12500","Revenge of the Hot Dogs (Large)","Gold 3","그리디 알고리즘|매개 변수 탐색|수학|이분 탐색"
"12501","House of Kittens (Small)","Unrated",
"12502","House of Kittens (Large)","Unrated",
"12503","FreeCell Statistics (Small)","Silver 3","많은 조건 분기|브루트포스 알고리즘|수학|정수론"
"12504","FreeCell Statistics (Large)","Silver 2","많은 조건 분기|수학|정수론"
"12505","The Killer Word (Small)","Silver 3","구현|문자열|브루트포스 알고리즘|시뮬레이션"
"12506","The Killer Word (Large)","Platinum 5","구현|브루트포스 알고리즘|시뮬레이션"
"12507","Pseudominion (Small)","Unrated",
"12508","Pseudominion (Large)","Unrated",
"12509","Bot Trust (Small)","Silver 5","구현|시뮬레이션"
"12510","Bot Trust (Large)","Silver 4","구현|시뮬레이션"
"12511","Magicka (Small)","Silver 4","구현|문자열|스택|시뮬레이션|자료 구조"
"12512","Magicka (Large)","Silver 3","구현|문자열|브루트포스 알고리즘|스택|시뮬레이션|자료 구조"
"12513","Candy Splitting (Small)","Silver 4","그리디 알고리즘|브루트포스 알고리즘|비트마스킹|수학|애드 혹"
"12514","Candy Splitting (Large)","Silver 2","그리디 알고리즘|비트마스킹"
"12515","챔피언소트 (Small)","Platinum 4","수학|조합론|확률론"
"12516","챔피언소트 (Large)","Platinum 3","수학|조합론|확률론"
"12517","Centauri Prime (Small1)","Bronze 2","구현|문자열"
"12518","Centauri Prime (Small2)","Bronze 2","구현|문자열"
"12519","Music Collection (Small1)","Silver 2","구현|문자열|브루트포스 알고리즘"
"12520","Music Collection (Small2)","Silver 2","구현|문자열|브루트포스 알고리즘"
"12521","Irregular Expressions (Small)","Silver 3","문자열|브루트포스 알고리즘"
"12522","Irregular Expressions (Large)","Silver 3","문자열|브루트포스 알고리즘"
"12523","Twibet (Small)","Silver 2","구현|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"12524","Twibet (Large)","Silver 2","구현|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"12528","Music Collection (Small2)","Unrated",
"12529","Extreme Escalator Pogo (Small)","Gold 3","구현|그래프 이론|그래프 탐색|너비 우선 탐색|다이나믹 프로그래밍"
"12530","Extreme Escalator Pogo (Large)","Platinum 5","그래프 이론|그래프 탐색|너비 우선 탐색|자료 구조|집합과 맵|트리를 사용한 집합과 맵|해시를 사용한 집합과 맵"
"12531","Vanishing Numbers (Small)","Silver 3","구현|임의 정밀도 / 큰 수 연산"
"12532","Vanishing Numbers (Large)","Silver 3","구현|임의 정밀도 / 큰 수 연산"
"12533","Battlefield (Small)","Gold 4","그래프 이론|그래프 탐색|오일러 경로"
"12534","Battlefield (Large)","Platinum 5","그래프 이론|그래프 탐색|오일러 경로"
"12535","Radio Receiver (Small)","Silver 1","매개 변수 탐색|이분 탐색|정렬"
"12536","Radio Receiver (Large)","Gold 3","매개 변수 탐색|이분 탐색|정렬"
"12537","Closing the Loop (Small)","Silver 5","그리디 알고리즘|정렬"
"12538","Closing the Loop (Large)","Silver 4","그리디 알고리즘|정렬"
"12539","Investing at the Market (Small)","Bronze 1","구현|브루트포스 알고리즘"
"12540","Investing at the Market (Large)","Bronze 1","구현|브루트포스 알고리즘"
"12541","Building a House (Small)","Silver 4","누적 합|브루트포스 알고리즘"
"12542","Building a House (Large)","Silver 3","브루트포스 알고리즘"
"12543","Letter Stamper (Small)","Platinum 2","다이나믹 프로그래밍"
"12544","Letter Stamper (Large)","Diamond 4","그리디 알고리즘|다이나믹 프로그래밍"
"12545","City Tour (Small)","Silver 1","그래프 이론|백트래킹|브루트포스 알고리즘"
"12546","City Tour (Large)","Diamond 5","그래프 이론|다이나믹 프로그래밍|트리|트리 분할|트리에서의 다이나믹 프로그래밍"
"12547","Candy Store (Small)","Platinum 4","그리디 알고리즘|사칙연산|수학"
"12548","Candy Store (Large)","Diamond 4","그리디 알고리즘"
"12549","Travel Plan (Small)","Silver 1","백트래킹|브루트포스 알고리즘"
"12550","Travel Plan (Large)","Diamond 4","애드 혹|이분 탐색|중간에서 만나기"
"12551","Ninjutsu (Small)","Platinum 2","각도 정렬|구현|기하학|백트래킹|브루트포스 알고리즘|시뮬레이션|재귀|정렬"
"12552","Ninjutsu (Large)","Unrated",
"12553","The Paths of Yin Yang (Small)","Unrated",
"12554","The Paths of Yin Yang (Large)","Unrated",
"12555","De-RNG-ed (Small)","Silver 2","브루트포스 알고리즘|수학|정수론"
"12556","De-RNG-ed (Large)","Gold 2","브루트포스 알고리즘|수학|정수론|페르마의 소정리"
"12557","Fence (Small)","Platinum 5","그리디 알고리즘|다이나믹 프로그래밍|배낭 문제|수학|정수론"
"12558","Fence (Large)","Diamond 5","0-1 너비 우선 탐색|그래프 이론|그리디 알고리즘|데이크스트라|수학|정수론|최단 경로"
"12559","Hot Dog Proliferation (Small)","Unrated",
"12560","Hot Dog Proliferation (Large)","Diamond 4","스택|애드 혹|자료 구조"
"12561","Different Sum (Small)","Platinum 5","구현|백트래킹"
"12562","Different Sum (Large)","Diamond 4","다이나믹 프로그래밍"
"12563","Elegant Diamond (Small)","Gold 4","구현|브루트포스 알고리즘"
"12564","Elegant Diamond (Large)","Gold 3","브루트포스 알고리즘"
"12565","World Cup 2010 (Small)","Gold 4","그리디 알고리즘|다이나믹 프로그래밍"
"12566","World Cup 2010 (Large)","Platinum 4","다이나믹 프로그래밍|트리|트리에서의 다이나믹 프로그래밍"
"12567","Bacteria (Small)","Silver 1","구현|시뮬레이션"
"12568","Bacteria (Large)","Platinum 4","그래프 이론|그래프 탐색|분리 집합|애드 혹|자료 구조"
"12569","Grazing Google Goats (Small)","Platinum 5","기하학"
"12570","Grazing Google Goats (Large)","Ruby 5","구현|그린 정리|기하학|미적분학|볼록 껍질|볼록 다각형 내부의 점 판정|수학|정렬"
"12571","Rope Intranet (Small)","Bronze 3","구현|브루트포스 알고리즘"
"12572","Rope Intranet (Large)","Bronze 2","구현|브루트포스 알고리즘"
"12573","Load Testing (Small)","Gold 5","수학|애드 혹"
"12574","Load Testing (Large)","Gold 1","수학|애드 혹|이분 탐색"
"12575","Making Chess Boards (Small)","Silver 2","구현|시뮬레이션"
"12576","Making Chess Boards (Large)","Platinum 3","다이나믹 프로그래밍|우선순위 큐|자료 구조"
"12577","File Fix-it (Small)","Silver 1","문자열|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"12578","File Fix-it (Large)","Gold 4","문자열|자료 구조|집합과 맵|트라이|트리|해시를 사용한 집합과 맵"
"12579","Picking Up Chicks (Small)","Silver 2","구현|그리디 알고리즘"
"12580","Picking Up Chicks (Large)","Gold 4","구현|그리디 알고리즘"
"12581","Your Rank is Pure (Small)","Gold 5","다이나믹 프로그래밍|브루트포스 알고리즘|비트마스킹"
"12582","Your Rank is Pure (Large)","Platinum 3","다이나믹 프로그래밍|수학|조합론"
"12583","Rotate (Small)","Gold 5","격자 그래프|구현|브루트포스 알고리즘|시뮬레이션"
"12584","Rotate (Large)","Gold 5","구현|브루트포스 알고리즘|시뮬레이션"
"12585","Make it Smooth (Small)","Gold 4","브루트포스 알고리즘"
"12586","Make it Smooth (Large)","Platinum 4","다이나믹 프로그래밍|많은 조건 분기"
"12587","Number Game (Small)","Platinum 5","게임 이론|브루트포스 알고리즘"
"12588","Number Game (Large)","Platinum 1","게임 이론|수학|애드 혹|정수론"
"12589","Snapper Chain (Small)","Silver 5","구현|비트마스킹|수학|시뮬레이션"
"12590","Snapper Chain (Large)","Silver 4","비트마스킹|수학"
"12591","Fair Warning (Small)","Silver 4","수학|유클리드 호제법|정수론"
"12592","Fair Warning (Large)","Silver 2","수학|유클리드 호제법|임의 정밀도 / 큰 수 연산|정수론"
"12593","Theme Park (Small)","Silver 1","구현|시뮬레이션"
"12594","Theme Park (Large)","Gold 2","구현|그래프 이론|수학|시뮬레이션|함수형 그래프"
"12595","Odd Man Out (Small)","Bronze 1","자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"12596","Odd Man Out (Large)","Silver 5","사칙연산|수학|자료 구조|정렬|집합과 맵"
"12597","Get to Work (Small)","Silver 4","구현|그리디 알고리즘|정렬"
"12598","Get to Work (Large)","Silver 4","구현|그리디 알고리즘|정렬"
"12599","Qualification Round (Small)","Silver 3","구현|그리디 알고리즘|수학"
"12600","Qualification Round (Large)","Gold 1","그리디 알고리즘|매개 변수 탐색|수학|애드 혹|이분 탐색"
"12601","Polygraph (Small)","Gold 4","브루트포스 알고리즘"
"12603","Store Credit (Small)","Bronze 2","구현|브루트포스 알고리즘"
"12604","Store Credit (Large)","Bronze 2","구현|브루트포스 알고리즘"
"12605","단어순서 뒤집기","Bronze 2","구현|문자열|스택|자료 구조|파싱"
"12606","Reverse Words (Large)","Bronze 2","구현|문자열|파싱"
"12607","T9 Spelling (Small)","Bronze 1","구현|문자열"
"12608","T9 Spelling (Large)","Bronze 1","구현|문자열"
"12609","Year of More Code Jam (Small)","Platinum 4","기댓값의 선형성|브루트포스 알고리즘|수학|확률론"
"12610","Year of More Code Jam (Large)","Diamond 5","기댓값의 선형성|수학|조합론|확률론"
"12611","Min Perimeter (Small)","Unrated",
"12612","Min Perimeter (Large)","Unrated",
"12613","Doubly-sorted Grid (Small)","Unrated",
"12614","Doubly-sorted Grid (Large)","Unrated",
"12615","Wi-fi Towers (Small)","Gold 5","브루트포스 알고리즘"
"12616","Wi-fi Towers (Large)","Diamond 5","그래프 이론|최대 유량|최대 유량 최소 컷 정리"
"12617","Marbles (Small)","Gold 4","다이나믹 프로그래밍|백트래킹|브루트포스 알고리즘|비트마스킹|스택|자료 구조"
"12618","Marbles (Large)","Diamond 3","그래프 이론|그래프 탐색|다이나믹 프로그래밍|방향 비순환 그래프|이분 그래프"
"12619","Lights (Small)","Diamond 4","기하학|도형에서의 불 연산|많은 조건 분기"
"12620","Lights (Large)","Diamond 1","구현|기하학|도형에서의 불 연산|선분 교차 판정|스위핑"
"12621","EZ-Sokoban (Small)","Gold 2","구현|그래프 이론|그래프 탐색|너비 우선 탐색|최단 경로"
"12622","EZ-Sokoban (Large)","Gold 1","구현|그래프 이론|그래프 탐색|너비 우선 탐색|자료 구조|집합과 맵|최단 경로"
"12623","Alphabetomials (Small)","Unrated",
"12624","Alphabetomials (Large)","Unrated",
"12625","Football Team (Small)","Diamond 3","그래프 이론|평면 그래프"
"12626","Football Team (Large)","Diamond 2","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|평면 그래프"
"12627","Interesting Ranges (Small)","Unrated",
"12628","Interesting Ranges (Large)","Unrated",
"12629","Crazy Rows (Small)","Silver 3","구현|브루트포스 알고리즘|정렬"
"12630","Crazy Rows (Large)","Gold 2","그리디 알고리즘"
"12631","A Digging Problem (Small)","Unrated",
"12632","A Digging Problem (Large)","Unrated",
"12633","Stock Charts (Small)","Gold 2","그래프 이론|방향 비순환 그래프|이분 매칭"
"12634","Stock Charts (Large)","Platinum 2","이분 매칭"
"12635","Watering Plants (Small)","Gold 4","기하학|브루트포스 알고리즘"
"12636","Watering Plants (Large)","Platinum 1","기하학|이분 탐색"
"12637","All Your Base (Small)","Silver 3","그리디 알고리즘|수학|정수론"
"12638","All Your Base (Large)","Silver 3","그리디 알고리즘|수학"
"12639","Center of Mass (Small)","Silver 2","기하학|물리학|삼분 탐색|수학"
"12640","Center of Mass (Large)","Silver 2","기하학|물리학|삼분 탐색|수학"
"12641","Bribe the Prisoners (Small)","Silver 2","구현|백트래킹|브루트포스 알고리즘"
"12642","Bribe the Prisoners (Large)","Gold 1","다이나믹 프로그래밍"
"12643","Decision Tree (Small)","Gold 2","구현|문자열|자료 구조|트리|파싱"
"12644","Decision Tree (Large)","Gold 2","구현|문자열|자료 구조|트리|파싱"
"12645","The Next Number (Small)","Bronze 1","그리디 알고리즘|브루트포스 알고리즘"
"12646","The Next Number (Large)","Gold 5","구현|그리디 알고리즘"
"12647","Square Math (Small)","Platinum 2",
"12648","Square Math (Large)","Platinum 2","구현|그래프 이론|그래프 탐색|너비 우선 탐색"
"12649","Multi-base happiness (Small)","Silver 5","구현|브루트포스 알고리즘|집합과 맵"
"12650","Multi-base happiness (Large)","Gold 2","다이나믹 프로그래밍|런타임 전의 전처리"
"12651","Crossing the Road (Small)","Unrated",
"12652","Crossing the Road (Large)","Unrated",
"12653","Collecting Cards (Small)","Gold 2","다이나믹 프로그래밍|수학|확률론"
"12654","Collecting Cards (Large)","Gold 1","다이나믹 프로그래밍|수학|확률론"
"12655","Alien Language (Small)","Silver 2","문자열|브루트포스 알고리즘|자료 구조|집합과 맵|파싱"
"12656","Alien Language (Large)","Silver 1","문자열|브루트포스 알고리즘|자료 구조|집합과 맵|파싱"
"12657","Watersheds (Small)","Silver 2","그래프 이론|그래프 탐색|너비 우선 탐색|분리 집합|자료 구조"
"12658","Watersheds (Large)","Gold 5","구현|그래프 이론|그래프 탐색|깊이 우선 탐색"
"12659","Welcome to Code Jam (Small)","Silver 2","다이나믹 프로그래밍|백트래킹"
"12660","Welcome to Code Jam (Large)","Silver 1","다이나믹 프로그래밍|문자열|수학|조합론"
"12661","Juice (Small)","Gold 5","브루트포스 알고리즘|비트마스킹"
"12662","Juice (Large)","Platinum 2","스위핑"
"12663","Ping Pong Balls (Small)","Gold 3","그래프 이론|그래프 탐색|너비 우선 탐색"
"12664","Ping Pong Balls (Large)","Diamond 4","선형대수학|수학"
"12665","Mine Layer (Small)","Platinum 5","브루트포스 알고리즘"
"12666","Mine Layer (Large)","Diamond 3","애드 혹"
"12667","Bridge Builders (Small)","Platinum 3","그래프 이론|그래프 탐색|너비 우선 탐색|최소 스패닝 트리"
"12668","Bridge Builders (Large)","Diamond 3","그래프 이론|그래프 탐색|너비 우선 탐색|최소 스패닝 트리"
"12669","The Year of Code Jam (Small)","Platinum 1","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"12670","The Year of Code Jam (Large)","Diamond 3","그래프 이론|이분 그래프|최대 유량|최대 유량 최소 컷 정리"
"12671","Scaled Triangle (Small)","Platinum 4","가우스 소거법|기하학|선형대수학|수학"
"12672","삼각형 변환 (Large)","Platinum 5","가우스 소거법|기하학|선형대수학|수학"
"12673","Painting a Fence (Small)","Unrated",
"12674","Painting a Fence (Large)","Unrated",
"12675","Rainbow Trees (Small)","Unrated",
"12676","Rainbow Trees (Large)","Unrated",
"12677","Bus Stops (Small)","Unrated",
"12678","Bus Stops (Large)","Unrated",
"12679","Mixing Bowls (Small)","Gold 5",
"12680","Mixing Bowls (Large)","Gold 1","그리디 알고리즘|다이나믹 프로그래밍|문자열|자료 구조|정렬|집합과 맵|트리|트리에서의 다이나믹 프로그래밍|해시를 사용한 집합과 맵"
"12681","Code Sequence (Small)","Gold 3","수학"
"12682","Code Sequence (Large)","Platinum 3","수학"
"12683","Test Passing Probability (Small)","Silver 4","그리디 알고리즘|브루트포스 알고리즘|수학|정렬|확률론"
"12684","Test Passing Probability (Large)","Gold 3","구현|그리디 알고리즘|다이나믹 프로그래밍|수학|확률론"
"12685","King (Small)","Platinum 3","게임 이론|다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|스프라그–그런디 정리"
"12686","King (Large)","Ruby 5","게임 이론|그래프 이론|일반적인 매칭"
"12687","What are Birds? (Small)","Gold 2","구현|기하학"
"12688","What are Birds? (Large)","Gold 2","기하학"
"12689","Apocalypse Soon (Small)","Gold 4","브루트포스 알고리즘"
"12690","Apocalypse Soon (Large)","Unrated",
"12691","Millionaire (Small)","Platinum 5","다이나믹 프로그래밍|수학|확률론"
"12692","Millionaire (Large)","Platinum 2","다이나믹 프로그래밍|수학|확률론"
"12693","Modern Art Plagiarism (Small)","Platinum 4","그래프 이론|그래프 탐색|다이나믹 프로그래밍|브루트포스 알고리즘|이분 매칭|트리|트리에서의 다이나믹 프로그래밍"
"12694","Modern Art Plagiarism (Large)","Diamond 4","다이나믹 프로그래밍|이분 매칭|트리|트리에서의 다이나믹 프로그래밍"
"12695","How Big Are the Pockets? (Small)","Unrated",
"12696","How Big Are the Pockets? (Large)","Unrated",
"12697","Portal (Small)","Gold 2","0-1 너비 우선 탐색|그래프 이론|데이크스트라|최단 경로"
"12698","Portal (Large)","Platinum 5","0-1 너비 우선 탐색|그래프 이론|그래프 탐색|너비 우선 탐색|데이크스트라|최단 경로"
"12699","Igra","Gold 3","그리디 알고리즘|많은 조건 분기"
"12700","Poklon","Platinum 3","그래프 이론|그래프 탐색|깊이 우선 탐색|수학|애드 혹|임의 정밀도 / 큰 수 연산|트리"
"12701","Endless Knight (Small)","Gold 4","다이나믹 프로그래밍"
"12702","Endless Knight (Large)","Platinum 1","뤼카 정리|수학|정수론|조합론|포함 배제의 원리"
"12703","Cheating a Boolean Tree (Small)","Gold 5","구현|그래프 이론|다이나믹 프로그래밍|백트래킹|트리|트리에서의 다이나믹 프로그래밍"
"12704","Cheating a Boolean Tree (Large)","Gold 1","다이나믹 프로그래밍|트리|트리에서의 다이나믹 프로그래밍"
"12705","Triangle Areas (Small)","Silver 3","기하학|브루트포스 알고리즘|해 구성하기"
"12706","Triangle Areas (Large)","Gold 3","기하학|수학|정수론|해 구성하기"
"12707","Star Wars (Small)","Platinum 4","3차원 기하학|기하학|매개 변수 탐색|삼분 탐색|수학|스위핑|이분 탐색"
"12708","Star Wars (Large)","Platinum 4","3차원 기하학|기하학|매개 변수 탐색|수학|이분 탐색"
"12709","PermRLE (Small)","Silver 3","문자열|브루트포스 알고리즘"
"12710","PermRLE (Large)","Platinum 3","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|외판원 순회 문제"
"12711","Text Messaging Outrage (Small)","Silver 5","그리디 알고리즘|정렬"
"12712","Text Messaging Outrage (Large)","Silver 4","그리디 알고리즘|정렬"
"12713","Ugly Numbers (Small)","Silver 2","백트래킹|브루트포스 알고리즘"
"12714","Ugly Numbers (Large)","Gold 1","다이나믹 프로그래밍|수학|정수론"
"12715","Increasing Speed Limits (Small)","Silver 3","다이나믹 프로그래밍"
"12716","Increasing Speed Limits (Large)","Platinum 5","값 / 좌표 압축|다이나믹 프로그래밍|세그먼트 트리|자료 구조"
"12717","Crop Triangles (Small)","Silver 5","브루트포스 알고리즘|수학"
"12718","Crop Triangles (Large)","Gold 5","수학|정수론|조합론"
"12719","Number Sets (Small)","Silver 1","구현|소수 판정|수학|정수론"
"12720","Number Sets (Large)","Gold 1","분리 집합|소수 판정|수학|에라토스테네스의 체|자료 구조|정수론"
"12721","Mousetrap (Small)","Silver 3","구현|시뮬레이션"
"12722","Mousetrap (Large)","Platinum 5","구현|다이나믹 프로그래밍|세그먼트 트리|자료 구조"
"12723","Minimum Scalar Product (Small)","Silver 5","그리디 알고리즘|브루트포스 알고리즘|수학|정렬"
"12724","Minimum Scalar Product (Large)","Silver 4","그리디 알고리즘|정렬"
"12725","Milkshakes (Small)","Silver 4","브루트포스 알고리즘|비트마스킹"
"12726","Milkshakes (Large)","Gold 5","그리디 알고리즘"
"12727","Numbers (Small)","Gold 3","런타임 전의 전처리|수학|임의 정밀도 / 큰 수 연산"
"12728","n제곱 계산","Platinum 1","분할 정복을 이용한 거듭제곱|수학"
"12729","Saving the Universe (Small)","Silver 2","그리디 알고리즘|문자열|비트마스킹"
"12730","Saving the Universe (Large)","Silver 1","그리디 알고리즘|문자열|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"12731","열차 시간표(Small)","Gold 5","구현|그리디 알고리즘|시뮬레이션|우선순위 큐|자료 구조|정렬"
"12732","열차 시간표(Large)","Gold 5","구현|그리디 알고리즘|시뮬레이션|우선순위 큐|자료 구조|정렬"
"12733","Fly Swatter (Small)","Platinum 1","기하학|미적분학|수학|확률론"
"12734","Fly Swatter (Large)","Platinum 1","기하학|미적분학|수학|피타고라스 정리|확률론"
"12735","Boat","Diamond 3","다이나믹 프로그래밍|수학|조합론"
"12736","Fireworks","Diamond 1","다이나믹 프로그래밍|우선순위 큐|자료 구조|작은 집합에서 큰 집합으로 합치는 테크닉|트리|트리에서의 다이나믹 프로그래밍|함수 개형을 이용한 최적화"
"12738","가장 긴 증가하는 부분 수열 3","Gold 2","가장 긴 증가하는 부분 수열 문제|이분 탐색"
"12739","돌림판 (Small)","Silver 3","구현|시뮬레이션"
"12740","돌림판 (Large)","Platinum 1","수학|정수론|조합론"
"12741","쓰담쓰담","Platinum 4","세그먼트 트리|자료 구조"
"12742","혼합물 (Small)","Platinum 5","삼분 탐색"
"12743","혼합물 (Large)","Platinum 4","삼분 탐색"
"12744","팬케이크 쌓기","Gold 3","그래프 이론|그래프 탐색|너비 우선 탐색|자료 구조"
"12745","Traffic (Small)","Platinum 4","누적 합|최소 공통 조상|트리"
"12746","Traffic (Large)","Platinum 2","누적 합|최소 공통 조상|트리"
"12747","색칠 공부 (Small)","Gold 1","백트래킹|브루트포스 알고리즘|자료 구조|집합과 맵"
"12748","색칠 공부 (Large)","Diamond 1","번사이드 보조정리|수학|정수론|조합론"
